File Name,Molecule,Precursor Adduct,Precursor,Precursor Mz,Total Area,Best Retention Time
Standard2_matrix_neg_15min_10.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,1927,0.68
Standard2_matrix_neg_15min_11.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,333,0.48
Standard2_matrix_neg_15min_12.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,2730,0.67
Standard2_matrix_neg_15min_13.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,2532,0.68
Standard2_matrix_neg_15min_14.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,555,5.96
Standard2_matrix_neg_15min_15.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,2075,0.7
Standard2_matrix_neg_15min_2.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,91256,0.5
Standard2_matrix_neg_15min_3.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,61423,0.49
Standard2_matrix_neg_15min_5.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,12158,0.48
Standard2_matrix_neg_15min_6.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,3832,0.49
Standard2_matrix_neg_15min_8.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,3240,0.68
Standard3_water_neg_15min_10.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,24,0.43
Standard3_water_neg_15min_11.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,4,0.32
Standard3_water_neg_15min_12.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,4,11.94
Standard3_water_neg_15min_13.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,6,13.93
Standard3_water_neg_15min_14.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,9,4.94
Standard3_water_neg_15min_15.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,4,13.65
Standard3_water_neg_15min_16.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,4,0.86
Standard3_water_neg_15min_2.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,70845,0.48
Standard3_water_neg_15min_3.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,27927,0.45
Standard3_water_neg_15min_5.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,8460,0.42
Standard3_water_neg_15min_7.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,1516,0.43
Standard3_water_neg_15min_8.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,396,0.44
Standard3_water_neg_15min_9.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,174,0.44
Standard2_matrix_neg_15min_16.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,2432,0.67
Standard2_matrix_neg_15min_4.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,22543,0.49
Standard2_matrix_neg_15min_7.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,3259,0.9
Standard2_matrix_neg_15min_9.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,2148,0.68
Standard3_water_neg_15min_1.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,135603,0.5
Standard3_water_neg_15min_4.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,12535,0.43
Standard3_water_neg_15min_6.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,3195,0.43
QC_neg_15min.wiff2,1-Methyladenosine,[M-H],280.1051[M-H],280.105128,2291,0.68
QC_pos_15min.wiff2,1-Methyladenosine,[M+H],282.1197[M+H],282.11968,1046,5.62
Standard3_matrix_pos_15min_1.wiff2,1-Methyladenosine,[M+H],282.1197[M+H],282.11968,13460463,0.51
Standard3_matrix_pos_15min_10.wiff2,1-Methyladenosine,[M+H],282.1197[M+H],282.11968,2508,0.72
