File Name,Molecule,Precursor Adduct,Precursor Mz,Total Area,Best Retention Time
Standard2_matrix_neg_1.wiff2,1-Methyladenosine,[M-H],280.105128,21016,0.07
Standard2_water_neg_12.wiff2,1-Methyladenosine,[M-H],280.105128,235,0.06
Standard2_water_neg_10.wiff2,1-Methyladenosine,[M-H],280.105128,1027,0.06
Standard3_matrix_neg_2.wiff2,1-Methyladenosine,[M-H],280.105128,16615,0.07
Standard3_water_neg_6.wiff2,1-Methyladenosine,[M-H],280.105128,1704,0.06
Standard3_water_neg_1.wiff2,1-Methyladenosine,[M-H],280.105128,44774,0.07
Standard3_matrix_neg_8.wiff2,1-Methyladenosine,[M-H],280.105128,680,0.07
Standard3_matrix_neg_11.wiff2,1-Methyladenosine,[M-H],280.105128,351,0.09
Standard2_water_neg_9.wiff2,1-Methyladenosine,[M-H],280.105128,1459,0.06
Standard2_water_neg_8.wiff2,1-Methyladenosine,[M-H],280.105128,1561,0.06
Standard2_water_neg_24.wiff2,1-Methyladenosine,[M-H],280.105128,92,3.13
Standard2_water_neg_23.wiff2,1-Methyladenosine,[M-H],280.105128,48,3.2
Standard2_water_neg_21.wiff2,1-Methyladenosine,[M-H],280.105128,105,3.31
Standard2_water_neg_19.wiff2,1-Methyladenosine,[M-H],280.105128,77,3.2
Standard2_water_neg_18.wiff2,1-Methyladenosine,[M-H],280.105128,81,3.27
Standard2_water_neg_17.wiff2,1-Methyladenosine,[M-H],280.105128,83,3.01
Standard2_water_neg_16.wiff2,1-Methyladenosine,[M-H],280.105128,27,2.99
Standard2_water_neg_14.wiff2,1-Methyladenosine,[M-H],280.105128,34,3.2
Standard2_water_neg_13.wiff2,1-Methyladenosine,[M-H],280.105128,146,0.06
Standard2_water_neg_11.wiff2,1-Methyladenosine,[M-H],280.105128,742,0.05
Standard2_matrix_neg_9.wiff2,1-Methyladenosine,[M-H],280.105128,1203,0.07
Standard2_matrix_neg_8.wiff2,1-Methyladenosine,[M-H],280.105128,2600,0.07
Standard2_matrix_neg_7.wiff2,1-Methyladenosine,[M-H],280.105128,3471,0.07
Standard2_matrix_neg_6.wiff2,1-Methyladenosine,[M-H],280.105128,8556,0.07
Standard2_matrix_neg_5.wiff2,1-Methyladenosine,[M-H],280.105128,11165,0.07
Standard2_matrix_neg_4.wiff2,1-Methyladenosine,[M-H],280.105128,5737,0.36
Standard2_matrix_neg_16.wiff2,1-Methyladenosine,[M-H],280.105128,238,0.1
Standard2_matrix_neg_15.wiff2,1-Methyladenosine,[M-H],280.105128,693,0.09
Standard2_matrix_neg_14.wiff2,1-Methyladenosine,[M-H],280.105128,356,0.09
Standard2_matrix_neg_10.wiff2,1-Methyladenosine,[M-H],280.105128,1137,0.06
Standard3_water_neg_9.wiff2,1-Methyladenosine,[M-H],280.105128,14,3.3
Standard3_water_neg_8.wiff2,1-Methyladenosine,[M-H],280.105128,63,0.06
Standard3_water_neg_7.wiff2,1-Methyladenosine,[M-H],280.105128,364,0.06
Standard3_water_neg_5.wiff2,1-Methyladenosine,[M-H],280.105128,4331,0.06
Standard3_water_neg_4.wiff2,1-Methyladenosine,[M-H],280.105128,10180,0.06
Standard3_water_neg_3.wiff2,1-Methyladenosine,[M-H],280.105128,15925,0.06
Standard3_water_neg_2.wiff2,1-Methyladenosine,[M-H],280.105128,27217,0.07
Standard3_water_neg_16.wiff2,1-Methyladenosine,[M-H],280.105128,18,3.16
Standard3_water_neg_15.wiff2,1-Methyladenosine,[M-H],280.105128,15,3.14
Standard3_water_neg_14.wiff2,1-Methyladenosine,[M-H],280.105128,36,3.24
Standard3_water_neg_13.wiff2,1-Methyladenosine,[M-H],280.105128,22,3.09
Standard3_water_neg_12.wiff2,1-Methyladenosine,[M-H],280.105128,35,3.29
Standard3_water_neg_11.wiff2,1-Methyladenosine,[M-H],280.105128,34,3.12
Standard3_water_neg_10.wiff2,1-Methyladenosine,[M-H],280.105128,27,3.03
Standard3_matrix_neg_9.wiff2,1-Methyladenosine,[M-H],280.105128,398,0.08
Standard3_matrix_neg_7.wiff2,1-Methyladenosine,[M-H],280.105128,416,0.07
Standard3_matrix_neg_6.wiff2,1-Methyladenosine,[M-H],280.105128,1498,0.07
Standard3_matrix_neg_5.wiff2,1-Methyladenosine,[M-H],280.105128,1863,0.07
Standard3_matrix_neg_4.wiff2,1-Methyladenosine,[M-H],280.105128,3699,0.07
Standard3_matrix_neg_3.wiff2,1-Methyladenosine,[M-H],280.105128,3553,0.07
Standard3_matrix_neg_10.wiff2,1-Methyladenosine,[M-H],280.105128,325,0.09
Standard3_matrix_neg_1.wiff2,1-Methyladenosine,[M-H],280.105128,18828,0.08
Standard2_water_neg_7.wiff2,1-Methyladenosine,[M-H],280.105128,3024,0.06
Standard2_water_neg_6.wiff2,1-Methyladenosine,[M-H],280.105128,4425,0.06
Standard2_water_neg_5.wiff2,1-Methyladenosine,[M-H],280.105128,7184,0.06
Standard2_water_neg_4.wiff2,1-Methyladenosine,[M-H],280.105128,9499,0.07
Standard2_water_neg_3.wiff2,1-Methyladenosine,[M-H],280.105128,11929,0.07
Standard2_water_neg_22.wiff2,1-Methyladenosine,[M-H],280.105128,37,3.33
Standard2_water_neg_20.wiff2,1-Methyladenosine,[M-H],280.105128,42,3.19
Standard2_water_neg_2.wiff2,1-Methyladenosine,[M-H],280.105128,15714,0.07
Standard2_water_neg_15.wiff2,1-Methyladenosine,[M-H],280.105128,24,3.17
